Date,Close/Last,Volume,Open,High,Low
02/25/2025,93.54,2839593,93.43,93.6276,93.06
02/24/2025,92.99,2637865,92.64,93.06,92.55
02/21/2025,92.87,1584830,92.52,92.975,92.415
02/20/2025,92.38,1627928,92.26,92.4299,92.25
02/19/2025,92.13,2126798,91.91,92.1872,91.87
02/18/2025,91.99,1817030,92.21,92.24,91.97
02/14/2025,92.43,1349532,92.52,92.67,92.41
02/13/2025,92.07,2546745,91.88,92.168,91.85
02/12/2025,91.44,2089857,91.74,91.74,91.25
02/11/2025,91.95,1983749,91.82,92.10,91.82
02/10/2025,92.20,4640055,92.31,92.425,92.15
02/07/2025,92.18,1293731,92.26,92.28,92.0341
02/06/2025,92.39,1601254,92.63,92.63,92.2697
02/05/2025,92.48,1709729,92.40,92.66,92.25
02/04/2025,91.97,1851105,91.67,92.025,91.56
02/03/2025,91.80,2068787,91.86,92.175,91.6796
01/31/2025,92.19,2138263,92.41,92.4499,92.01
01/30/2025,92.33,1737582,92.51,92.51,92.2311
01/29/2025,92.20,1774265,92.30,92.305,91.92
01/28/2025,92.17,1593952,91.94,92.21,91.9244
01/27/2025,92.17,2619878,92.11,92.27,91.97
01/24/2025,91.65,2023472,91.44,91.80,91.402
01/23/2025,91.53,3893404,91.56,91.65,91.46
01/22/2025,91.77,1821699,91.90,91.90,91.63
01/21/2025,91.92,3160127,92.09,92.09,91.76
01/17/2025,91.59,1989724,91.93,91.99,91.57
01/16/2025,91.66,1811831,91.37,91.81,91.22
01/15/2025,91.41,3382776,91.21,91.485,91.21
01/14/2025,90.46,2383603,90.56,90.575,90.34
01/13/2025,90.37,4140619,90.42,90.5172,90.28
01/10/2025,90.52,3459886,90.64,90.85,90.44
01/08/2025,91.17,2173069,90.92,91.2269,90.92
01/07/2025,91.12,2176052,91.27,91.38,90.915
01/06/2025,91.38,2318537,91.47,91.54,91.27
01/03/2025,91.48,1799357,92.26,92.26,91.4621
01/02/2025,91.60,2066727,91.97,91.97,91.45
12/31/2024,91.68,1862474,91.86,91.98,91.505
12/30/2024,91.76,2667487,91.48,91.935,91.48
12/27/2024,91.44,2452476,91.51,91.74,91.41
12/26/2024,91.48,2013947,91.10,91.525,91.00
12/24/2024,91.30,1120394,91.01,91.37,91.01
12/23/2024,91.28,2044062,91.90,91.90,91.22
12/20/2024,91.66,3023504,91.56,91.92,91.27
12/19/2024,91.26,2841741,91.11,91.37,91.065
12/18/2024,91.47,4138788,92.05,92.5091,91.47
12/17/2024,92.61,1891080,92.59,92.70,92.30
12/16/2024,92.62,4085917,92.52,92.74,92.44
12/13/2024,92.50,3270521,92.92,92.9335,92.38
12/12/2024,92.96,1681072,93.31,93.33,92.91
12/11/2024,93.39,1696117,93.94,93.94,93.37
12/10/2024,93.65,1493509,93.63,93.685,93.44
12/09/2024,93.64,2077617,93.84,93.93,93.625
12/06/2024,93.95,5062626,93.94,94.13,93.8401
12/05/2024,93.66,2340743,93.64,93.79,93.48
12/04/2024,93.64,6340113,93.23,93.71,93.05
12/03/2024,93.35,4815489,93.59,93.77,93.325
12/02/2024,93.50,2736412,93.48,93.60,93.14
11/29/2024,93.93,972219,93.90,93.99,93.7522
11/27/2024,93.55,1808928,93.58,93.6699,93.3921
11/26/2024,93.32,3426481,93.45,93.45,93.0026
11/25/2024,93.45,7461649,93.03,93.47,93.02
11/22/2024,92.60,9985360,92.62,92.6299,92.38
11/21/2024,92.41,2439122,92.27,92.59,92.27
11/20/2024,92.33,2199225,92.05,92.485,92.03
11/19/2024,92.37,4468634,92.59,92.59,92.3001
11/18/2024,92.23,1952294,92.01,92.34,91.97
11/15/2024,92.18,2707988,92.30,92.53,91.87
11/14/2024,92.34,2169880,92.50,92.755,92.28
11/13/2024,92.39,3336210,92.47,92.8291,92.26
11/12/2024,92.31,1449157,92.77,92.77,92.23
11/11/2024,92.93,1212655,93.07,93.07,92.75
11/08/2024,93.09,5058772,93.32,93.47,92.95
11/07/2024,93.08,3975069,92.58,93.14,92.50
11/06/2024,92.13,2438678,92.58,92.58,91.8779
11/05/2024,92.87,1540169,92.60,92.895,92.24
11/04/2024,92.56,3162494,92.66,92.8195,92.36
11/01/2024,92.12,2286454,92.96,92.96,92.09
10/31/2024,92.84,3492593,92.68,93.07,92.50
10/30/2024,92.94,3485280,93.13,93.44,92.89
10/29/2024,93.09,3435756,92.69,93.13,92.49
10/28/2024,92.80,2658023,93.26,93.26,92.665
10/25/2024,93.12,1560306,93.32,93.545,93.0432
10/24/2024,93.31,2221069,93.21,93.55,93.07
10/23/2024,93.18,3747647,92.73,93.36,92.73
10/22/2024,93.45,2258621,93.68,93.72,93.42
10/21/2024,93.42,2248351,94.04,94.04,93.41
10/18/2024,94.13,2747966,94.32,94.33,94.10
10/17/2024,94.06,1732663,94.23,94.31,94.03
10/16/2024,94.54,2651576,94.86,94.86,94.47
10/15/2024,94.47,2708081,94.40,94.5297,94.35
10/14/2024,94.17,654333,94.35,94.35,93.76
10/11/2024,94.23,1754561,94.42,94.42,94.05
10/10/2024,94.21,2766194,94.29,94.315,93.9903
10/09/2024,94.25,5195406,94.36,94.50,94.16
10/08/2024,94.47,1458622,94.32,94.4971,94.21
10/07/2024,94.28,1540429,94.18,94.36,94.10
10/04/2024,94.51,2067767,94.57,94.715,94.45
10/03/2024,95.21,5083329,95.44,95.54,95.21
10/02/2024,95.68,3318499,95.61,95.7999,95.53
10/01/2024,95.81,1668946,95.84,95.995,95.715
09/30/2024,95.81,2279316,96.14,96.14,95.71
09/27/2024,96.21,3090799,96.21,96.2406,95.99
09/26/2024,96.00,4633057,96.09,96.09,95.74
09/25/2024,95.94,3758830,96.16,96.16,95.93
09/24/2024,96.25,3617652,96.03,96.27,95.87
09/23/2024,96.08,1931033,96.03,96.275,95.8401
09/20/2024,96.15,1392248,96.21,96.32,96.005
09/19/2024,96.23,1898140,96.10,96.34,96.04
09/18/2024,96.17,1914342,96.44,96.635,96.17
09/17/2024,96.61,2390540,96.59,96.74,96.53
09/16/2024,96.66,3742378,96.61,96.76,96.56
09/13/2024,96.50,1579664,96.53,96.63,96.42
09/12/2024,96.27,1399018,96.48,96.515,96.24
09/11/2024,96.54,1156869,96.46,96.715,96.38
09/10/2024,96.51,2054662,96.09,96.58,96.09
09/09/2024,96.02,2320411,95.94,96.1555,95.825
09/06/2024,95.91,2049096,96.00,96.29,95.75
09/05/2024,95.82,2020081,95.84,95.8602,95.54
09/04/2024,95.60,1787390,95.32,95.62,95.24
09/03/2024,95.34,1713321,95.10,95.345,95.10
08/30/2024,95.24,1687345,95.28,95.45,95.11
08/29/2024,95.30,1213576,95.40,95.4358,95.22
08/28/2024,95.52,1531366,95.66,95.66,95.463
08/27/2024,95.55,1438586,95.39,95.63,95.30
08/26/2024,95.49,2079960,95.76,95.77,95.47
08/23/2024,95.55,1553029,95.25,95.61,95.15
08/22/2024,95.08,1714141,95.34,95.34,95.03
08/21/2024,95.40,1636189,95.35,95.645,95.15
08/20/2024,95.19,1592261,95.15,95.29,95.0467
08/19/2024,94.95,972984,94.82,95.06,94.7501
08/16/2024,94.84,1340370,94.79,94.86,94.565
08/15/2024,94.63,2045501,94.43,94.66,94.32
08/14/2024,94.91,1720137,94.93,95.11,94.87
08/13/2024,94.81,3672023,94.79,94.87,94.72
08/12/2024,94.54,1830745,94.34,94.64,94.275
08/09/2024,94.38,1110733,94.52,94.52,94.35
08/08/2024,94.09,1310239,94.02,94.215,93.915
08/07/2024,94.27,2060879,94.41,94.46,94.10
08/06/2024,94.50,2767259,94.95,94.95,94.40
08/05/2024,95.08,3131571,95.70,95.85,94.83
08/02/2024,95.22,1607461,94.79,95.2656,94.24
08/01/2024,94.02,1761084,94.34,94.34,93.83
07/31/2024,93.92,1174714,93.46,93.93,93.34
07/30/2024,93.37,1254655,93.22,93.445,93.12
07/29/2024,93.27,959131,93.32,93.32,93.12
07/26/2024,93.12,865839,93.11,93.15,92.965
07/25/2024,92.73,2297962,92.64,92.895,92.62
07/24/2024,92.56,1352562,92.91,92.9802,92.55
07/23/2024,92.71,4269652,92.88,93.00,92.71
07/22/2024,92.79,1184136,92.83,92.955,92.6317
07/19/2024,92.81,2958372,92.99,92.99,92.70
07/18/2024,93.00,2013164,93.19,93.28,92.98
07/17/2024,93.25,2483622,93.03,93.345,92.90
07/16/2024,93.09,1807845,92.88,93.10,92.77
07/15/2024,92.77,1145817,92.86,93.025,92.73
07/12/2024,93.12,1834188,92.93,93.14,92.881
07/11/2024,92.81,1335409,92.89,93.06,92.77
07/10/2024,92.32,1651894,92.40,92.42,92.18
07/09/2024,92.23,2024151,92.20,92.27,91.974
07/08/2024,92.20,1097811,92.21,92.23,92.05
07/05/2024,92.24,1131207,92.09,92.29,91.97
07/03/2024,91.64,1286825,91.40,91.785,91.295
07/02/2024,91.13,1597231,91.23,91.29,91.02
07/01/2024,90.85,4390985,90.96,91.22,90.7453
06/28/2024,91.81,2024831,92.56,92.59,91.80
06/27/2024,92.29,1268107,92.21,92.3945,92.21
06/26/2024,92.07,2041263,92.15,92.19,92.06
06/25/2024,92.51,1207410,92.54,92.57,92.401
06/24/2024,92.58,1046001,92.63,92.6638,92.51
06/21/2024,92.55,1023383,92.67,92.6998,92.37
06/20/2024,92.52,1041642,92.25,92.555,92.22
06/18/2024,92.64,1820375,92.39,92.675,92.285
06/17/2024,92.24,1291020,92.37,92.37,92.09
06/14/2024,92.61,1016702,92.66,92.765,92.5401
06/13/2024,92.52,1766781,92.51,92.64,92.26
06/12/2024,92.09,4129450,92.35,92.57,92.05
06/11/2024,91.54,1402533,91.22,91.58,91.135
06/10/2024,91.07,4936267,91.16,91.16,90.94
06/07/2024,91.22,1649193,91.39,91.405,91.179
06/06/2024,92.01,2441569,91.88,92.10,91.80
06/05/2024,91.98,1399584,91.78,92.05,91.61
06/04/2024,91.74,1112949,91.50,91.80,91.465
06/03/2024,91.30,1569975,90.85,91.37,90.85
05/31/2024,91.01,2216223,90.96,91.115,90.865
05/30/2024,90.71,1131145,90.63,90.79,90.50
05/29/2024,90.25,1533773,90.37,90.37,90.03
05/28/2024,90.60,1883411,91.14,91.18,90.548
05/24/2024,91.06,794970,90.92,91.11,90.80
05/23/2024,90.90,2759744,91.30,91.34,90.84
05/22/2024,91.26,1787899,91.16,91.49,91.16
05/21/2024,91.47,1614210,91.49,91.58,91.42
05/20/2024,91.20,1002600,91.32,91.3491,91.175
05/17/2024,91.35,1584321,91.53,91.70,91.34
05/16/2024,91.68,2836737,92.14,92.14,91.67
05/15/2024,92.03,2133082,92.00,92.15,91.86
05/14/2024,91.28,1902230,91.29,91.43,91.16
05/13/2024,90.96,1177396,91.15,91.1699,90.94
05/10/2024,90.79,2014391,90.91,90.92,90.75
05/09/2024,91.16,2538673,90.79,91.215,90.73
05/08/2024,90.82,4133446,90.89,90.92,90.77
05/07/2024,91.01,4141727,91.08,91.235,90.95
05/06/2024,90.60,2234805,90.75,90.793,90.57
05/03/2024,90.67,1554564,90.87,90.87,90.40
05/02/2024,90.16,1685521,89.66,90.215,89.61
05/01/2024,89.76,1965910,89.45,90.06,89.33
